Year,Sentence ID,Before,Mod,After,Main Verb,Passivized,Passive,Interrogative,Role,Speaker
1970,15785__0_000_0_0,Mr. Barone   you,may,proceed whenever you ’re ready .,proceed,,0,0,J,Warren E. Burger
1970,15785__0_005_0_0,Every decision of this Court in spite of the Reynolds decision which indicated that certain de minimis situations were unavoidable on certain situations that regardless of that   the requirement is that there,must,be an absolute de minimis and if one plan can achieve   if you will   a more minimal population variation   that is the plan which must be accepted .,be,,0,0,A,Frank P. Barone
1970,15785__0_005_0_0,Every decision of this Court in spite of the Reynolds decision which indicated that certain de minimis situations were unavoidable on certain situations that regardless of that   the requirement is that there must be an absolute de minimis and if one plan,can,achieve   if you will   a more minimal population variation   that is the plan which must be accepted .,achieve,,0,0,A,Frank P. Barone
1970,15785__0_005_0_0,Every decision of this Court in spite of the Reynolds decision which indicated that certain de minimis situations were unavoidable on certain situations that regardless of that   the requirement is that there must be an absolute de minimis and if one plan can achieve   if you will   a more minimal population variation   that is the plan which,must,be accepted .,accepted,must  be  accepted,1,0,A,Frank P. Barone
1970,15785__0_006_0_0,And in so far   that,must,you begin cutting representative in half or something   that ’s the best that can be done with the multi - member plan   is n’t it ?,begin,,0,1,J,Potter Stewart
1970,15785__0_006_0_0,And in so far   that must you begin cutting representative in half or something   that ’s the best that,can,be done with the multi - member plan   is n’t it ?,done,can  be  done,1,0,J,Potter Stewart
1970,15785__0_009_0_0,We say that a more minimal population variance or disparity,can,be achieved by use of the single - member district plan .,achieved,can  be  achieved,1,0,A,Frank P. Barone
1970,15785__0_012_0_0,It is simply a matter of meeting the requirements of the de minimis rule set forth in Reynolds which,must,be adhered to and the plan which bested here is to that must be the plan that is adopted in order to meet the requirements of the one man   one vote doctrine .,adhered,must  be  adhered,1,0,A,Frank P. Barone
1970,15785__0_012_0_0,It is simply a matter of meeting the requirements of the de minimis rule set forth in Reynolds which must be adhered to and the plan which bested here is to that,must,be the plan that is adopted in order to meet the requirements of the one man   one vote doctrine .,be,,0,0,A,Frank P. Barone
1970,15785__0_018_0_0,No   the highest,would,be 13 000 Your Honor ...,be,,0,0,A,Frank P. Barone
1970,15785__0_024_0_0,And if Your Honor please   with the 13 000 down to the 11 000 creating an under representation in Orangetown of 7.1 % and an over representation in Clarkstown of 4.8 %   the entitled disparity,would,be 11.9 % which I believe ...   which we believe to be a population variance not in keeping with requirements of this Court and its decision .,be,,0,0,A,Frank P. Barone
1970,15785__0_025_0_0,...   is this dynamic growth that you were describing continuing or the projections that it,will,continue ?,continue,,0,0,J,Warren E. Burger
1970,15785__0_028_0_0,and I do n’t have the exact figures but I ’m sure that counsel,will,indicate that the growth is not only phenomenal but yearly increase ...,indicate,,0,0,A,Frank P. Barone
1970,15785__0_029_0_0,Well   then a plan that was acceptable at the beginning of one year,might,not be acceptable by the end of that calendar year   is n’t that true ?,be,,0,1,J,Warren E. Burger
1970,15785__0_030_0_0,The inescapable conclusion,must,be that whenever it is shown   that another plan of reapportionment can reduce the population variance it must be adopted in lieu of the existing plan no matter how minimal the population deviation is under the existing plan .,be,,0,0,A,Frank P. Barone
